ProductID,CompetitorPrice,HistoricalPrice,Demand,CustomerSatisfaction,TimeOfDay,DayOfWeek,Price
1,643,521,High,High,Morning,Thursday,74
2,686,527,Low,High,Morning,Monday,62
3,708,648,High,Low,Morning,Thursday,46
4,528,735,High,High,Night,Tuesday,62
5,536,632,High,Low,Evening,Tuesday,58
6,456,456,Low,Low,Afternoon,Friday,57
7,574,417,Low,Low,Night,Wednesday,58
8,450,472,Low,High,Evening,Wednesday,74
9,577,725,Low,Medium,Evening,Tuesday,55
10,632,483,Low,High,Afternoon,Monday,62
11,601,496,Low,High,Night,Thursday,64
12,476,668,Low,Low,Night,Tuesday,40
13,415,672,Medium,Medium,Morning,Thursday,78
14,571,601,High,Medium,Evening,Friday,57
15,510,537,High,High,Afternoon,Wednesday,64
16,537,541,High,Medium,Afternoon,Tuesday,62
17,542,409,High,High,Evening,Thursday,50
18,696,476,High,Medium,Evening,Thursday,41
19,526,468,Low,High,Night,Friday,66
20,478,706,Medium,Medium,Night,Monday,76
21,408,723,Medium,Low,Morning,Tuesday,74
22,455,491,High,High,Evening,Friday,74
23,407,668,Low,Medium,Afternoon,Friday,57
24,724,436,Low,Medium,Morning,Tuesday,63
25,632,482,Medium,Medium,Night,Thursday,65
26,495,541,Low,High,Afternoon,Tuesday,50
27,683,557,Medium,Medium,Evening,Monday,61
28,700,625,Medium,High,Evening,Tuesday,41
29,522,671,High,Low,Evening,Friday,72
30,505,682,Low,Low,Night,Monday,65
31,665,536,High,High,Night,Friday,61
32,433,451,Medium,High,Afternoon,Wednesday,71
33,578,659,Low,Low,Evening,Wednesday,74
34,624,607,Medium,Medium,Evening,Wednesday,79
35,600,741,Medium,Medium,Morning,Monday,57
36,447,494,Medium,Medium,Afternoon,Thursday,64
37,705,600,Medium,Medium,Night,Tuesday,52
38,684,750,High,Medium,Afternoon,Thursday,74
39,518,414,High,High,Evening,Thursday,61
40,603,711,Medium,Low,Afternoon,Tuesday,54
41,420,526,Medium,Medium,Night,Wednesday,65
42,736,489,Low,Low,Night,Friday,49
43,766,684,Medium,High,Night,Monday,55
44,512,678,Low,Low,Night,Tuesday,43
45,513,770,Low,Low,Evening,Thursday,45
46,648,672,High,Low,Afternoon,Wednesday,62
47,532,440,High,Medium,Morning,Wednesday,61
48,443,601,Medium,Medium,Night,Wednesday,61
49,534,532,High,Medium,Night,Monday,62
50,721,471,High,Low,Evening,Thursday,45
51,412,672,Medium,Low,Evening,Friday,47
52,633,596,Low,Low,Evening,Monday,62
53,706,403,Medium,Medium,Night,Thursday,78
54,457,419,Low,High,Afternoon,Wednesday,59
55,642,615,Medium,Low,Morning,Friday,56
56,498,502,Low,Medium,Afternoon,Friday,47
57,721,714,High,High,Night,Friday,48
58,485,487,Medium,Low,Afternoon,Wednesday,45
59,469,478,High,High,Morning,Wednesday,54
60,540,500,High,Low,Night,Monday,62
61,664,600,Low,Medium,Morning,Friday,72
62,673,417,High,High,Morning,Thursday,73
63,798,598,Low,Low,Evening,Tuesday,61
64,565,587,High,Low,Afternoon,Monday,42
65,786,400,Medium,High,Afternoon,Thursday,61
66,518,619,High,Low,Evening,Thursday,48
67,584,729,Low,High,Afternoon,Thursday,43
68,668,791,High,Low,Afternoon,Friday,56
69,436,442,Medium,High,Morning,Tuesday,58
70,764,692,High,High,Afternoon,Wednesday,48
71,776,662,Medium,Low,Evening,Tuesday,75
72,412,653,High,High,Afternoon,Friday,45
73,465,622,Low,Medium,Night,Wednesday,58
74,616,576,Low,High,Night,Friday,78
75,526,491,Medium,High,Morning,Monday,56
76,602,490,Low,Medium,Morning,Tuesday,77
77,510,422,High,Medium,Afternoon,Monday,51
78,768,534,Medium,Low,Evening,Tuesday,76
79,676,485,Low,Medium,Afternoon,Wednesday,73
80,671,404,Low,Low,Night,Friday,74
81,772,449,Medium,Medium,Afternoon,Wednesday,70
82,451,710,High,Low,Evening,Tuesday,79
83,728,706,Medium,Low,Afternoon,Monday,47
84,608,422,Medium,Low,Evening,Wednesday,68
85,761,606,Medium,Low,Evening,Monday,49
86,470,515,Low,High,Afternoon,Wednesday,42
87,433,769,Low,Low,Evening,Wednesday,64
88,728,516,Medium,Medium,Night,Tuesday,60
89,674,744,Medium,Medium,Evening,Monday,43
90,464,731,Medium,Low,Afternoon,Wednesday,69
91,489,510,Low,High,Afternoon,Tuesday,61
92,561,510,Low,High,Morning,Wednesday,71
93,522,786,High,Medium,Evening,Wednesday,61
94,502,621,Low,High,Morning,Wednesday,52
95,634,509,High,Medium,Night,Monday,60
96,770,655,Medium,Medium,Afternoon,Wednesday,69
97,480,602,High,Low,Evening,Friday,70
98,545,622,High,Medium,Afternoon,Monday,77
99,517,476,High,Low,Evening,Thursday,40
100,751,488,High,High,Evening,Wednesday,49
101,764,547,Low,Low,Evening,Wednesday,45
102,460,760,Low,Low,Night,Friday,48
103,473,691,Medium,High,Evening,Tuesday,60
104,516,587,High,Low,Morning,Friday,59
105,413,750,High,High,Afternoon,Friday,68
106,731,773,High,High,Night,Tuesday,78
107,441,461,High,Medium,Morning,Friday,58
108,633,708,Medium,Medium,Morning,Friday,71
109,641,474,Medium,Medium,Night,Friday,66
110,679,794,High,High,Evening,Friday,61
111,766,684,Medium,Low,Morning,Thursday,69
112,635,584,Medium,Low,Afternoon,Wednesday,55
113,792,608,High,Medium,Evening,Thursday,47
114,732,690,High,Low,Evening,Wednesday,42
115,703,427,Medium,Low,Evening,Thursday,58
116,678,534,Medium,Low,Evening,Wednesday,58
117,662,468,High,Low,Night,Thursday,56
118,447,447,Low,Medium,Afternoon,Tuesday,49
119,478,735,Medium,High,Evening,Monday,78
120,771,715,Medium,Medium,Morning,Tuesday,57
121,451,770,High,Low,Night,Friday,52
122,561,587,Low,High,Evening,Monday,70
123,605,739,Medium,Medium,Afternoon,Thursday,48
124,727,620,High,High,Afternoon,Monday,71
125,678,634,Medium,Low,Morning,Friday,47
126,671,779,Low,Medium,Afternoon,Monday,71
127,446,771,High,Low,Night,Friday,41
128,712,749,High,Low,Afternoon,Wednesday,44
129,651,420,High,Low,Evening,Monday,64
130,533,565,Medium,High,Morning,Wednesday,53
131,447,667,Medium,Medium,Morning,Wednesday,80
132,445,455,Medium,Low,Evening,Monday,59
133,499,470,Low,Medium,Night,Wednesday,73
134,437,719,High,Medium,Afternoon,Thursday,47
135,497,444,Medium,Low,Night,Wednesday,63
136,720,422,Medium,High,Morning,Friday,57
137,683,465,Low,Low,Afternoon,Tuesday,61
